carrier,destination,status
UA,LAX,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,BQN,on time
B6,SFO,on time
B6,LAX,delayed
B6,BQN,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
B6,SFO,delayed
UA,SFO,on time
B6,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,LAX,delayed
B6,LAX,delayed
B6,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,LAX,delayed
UA,LAX,delayed
B6,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
B6,BQN,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
B6,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
B6,SFO,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
B6,SFO,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,on time
B6,SFO,on time
B6,LAX,on time
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,SFO,on time
UA,LAX,delayed
B6,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
B6,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,SFO,on time
B6,LAX,on time
UA,SFO,on time
B6,BQN,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
B6,LAX,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
B6,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,LAX,on time
UA,LAX,delayed
B6,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
B6,BQN,delayed
UA,SFO,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
UA,LAX,on time
B6,SFO,on time
B6,LAX,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
B6,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
B6,SFO,on time
UA,LAX,on time
UA,BQN,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
B6,BQN,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
B6,SFO,delayed
UA,SFO,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
B6,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,delayed
B6,SFO,on time
B6,LAX,on time
UA,SFO,on time
B6,BQN,delayed
UA,SFO,on time
UA,LAX,on time
B6,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
B6,LAX,delayed
B6,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,SFO,delayed
UA,BQN,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
B6,BQN,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
B6,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
B6,SFO,on time
UA,LAX,delayed
UA,SFO,on time
B6,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
B6,SFO,on time
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
B6,BQN,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
B6,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,LAX,on time
B6,SFO,on time
B6,LAX,delayed
UA,SFO,delayed
B6,BQN,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
B6,SFO,delayed
UA,LAX,delayed
B6,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,LAX,on time
B6,SFO,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,SFO,on time
B6,LAX,delayed
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
B6,SFO,on time
UA,LAX,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
B6,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
B6,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,LAX,on time
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
B6,LAX,delayed
B6,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,BQN,on time
B6,SFO,delayed
UA,SFO,on time
B6,LAX,delayed
B6,BQN,on time
UA,SFO,delayed
UA,SFO,delayed
B6,LAX,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
B6,LAX,on time
UA,LAX,on time
B6,SFO,on time
UA,SFO,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,delayed
B6,SFO,on time
B6,LAX,delayed
B6,BQN,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
B6,SFO,on time
UA,LAX,delayed
UA,SFO,on time
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,BQN,on time
B6,LAX,on time
B6,SFO,delayed
B6,BQN,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,SFO,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,LAX,delayed
B6,SFO,delayed
B6,LAX,delayed
UA,SFO,on time
B6,BQN,on time
UA,SFO,delayed
UA,LAX,on time
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
B6,SFO,delayed
UA,SFO,on time
B6,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
B6,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
B6,SFO,on time
B6,LAX,on time
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,LAX,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,SFO,on time
B6,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
B6,SFO,on time
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
B6,BQN,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
B6,SFO,on time
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,LAX,on time
B6,SFO,on time
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,SFO,on time
B6,LAX,delayed
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
B6,SFO,on time
UA,LAX,delayed
B6,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
B6,LAX,delayed
UA,SFO,on time
B6,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
B6,SFO,on time
UA,BQN,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
B6,BQN,delayed
UA,SFO,on time
UA,SFO,delayed
B6,LAX,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
B6,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
B6,LAX,delayed
B6,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
B6,LAX,on time
B6,BQN,delayed
UA,SFO,on time
UA,LAX,on time
B6,LAX,on time
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,LAX,on time
UA,SFO,delayed
B6,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
B6,LAX,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
B6,LAX,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,BQN,on time
UA,LAX,delayed
B6,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
B6,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
B6,SFO,on time
UA,SFO,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
B6,SFO,on time
B6,LAX,delayed
UA,SFO,delayed
B6,BQN,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
B6,SFO,delayed
UA,SFO,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
B6,SFO,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
B6,LAX,delayed
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,on time
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
B6,SFO,on time
UA,LAX,delayed
B6,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,on time
B6,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,SFO,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
B6,BQN,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
B6,LAX,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
B6,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
B6,LAX,on time
UA,SFO,on time
B6,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
B6,SFO,on time
B6,LAX,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,SFO,on time
UA,LAX,delayed
B6,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,LAX,on time
UA,SFO,delayed
UA,SFO,on time
B6,SFO,on time
UA,BQN,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
B6,BQN,on time
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,SFO,on time
UA,SFO,delayed
UA,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,on time
UA,LAX,on time
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
B6,LAX,on time
UA,SFO,on time
UA,LAX,on time
UA,SFO,delayed
B6,SFO,on time
UA,SFO,on time
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
B6,SFO,on time
B6,LAX,delayed
B6,BQN,delayed
UA,SFO,on time
UA,SFO,on time
B6,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,on time
B6,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,LAX,on time
B6,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
B6,SFO,on time
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
B6,SFO,delayed
UA,LAX,delayed
UA,BQN,on time
B6,LAX,delayed
B6,BQN,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,SFO,on time
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
B6,LAX,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
B6,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,LAX,on time
B6,SFO,delayed
UA,LAX,delayed
B6,LAX,delayed
UA,SFO,delayed
B6,BQN,on time
UA,SFO,delayed
UA,SFO,delayed
UA,LAX,on time
UA,LAX,delayed
B6,LAX,delayed
UA,LAX,delayed
UA,SFO,delayed
UA,SFO,on time
UA,SFO,delayed
UA,LAX,delayed
UA,SFO,on time
B6,SFO,delayed
UA,SFO,on time
UA,LAX,delayed
B6,LAX,on time
UA,LAX,delayed
